"RowID","Zipcode","Population","Median Age","Household Income","Per Capita Income","Poverty Count","Poverty Rate","State","Latitude","Longitude","GeoInfo","StandardZip","StandardZip4","ZipClass","CountySSA"
1444,"95601",132.00,31.70,-666666666.00,51202.00,9.00,6.81,"CA",38419385,120824373,"Zip-Point","95601",,"Rural","05020"
1445,"95602",18517.00,50.70,67439.00,35575.00,1867.00,10.08,"CA",38985809,121096857,"Zip-Distributive","95602",,"Rural","05410"
1446,"95603",29083.00,47.70,62738.00,37609.00,2605.00,8.95,"CA",38908789,121082321,"Zip-Distributive","95603",,"Rural","05410"
1447,"95604",106.00,63.50,138654.00,59082.00,12.00,11.32,"CA",38901455,121066707,"Zip-Point","95604",,"Rural","05410"
1448,"95605",14677.00,31.20,42450.00,19529.00,3329.00,22.68,"CA",38590704,121530190,"Zip-Distributive","95605",,"Urban","05670"
1449,"95606",211.00,60.20,51389.00,34548.00,36.00,17.06,"CA",38778756,122173288,"Zip-Distributive","95606",,"Frontier","05670"
1450,"95607",415.00,59.00,67000.00,45211.00,44.00,10.60,"CA",38768577,122055578,"Zip-Distributive","95607",,"Rural","05670"
1451,"95608",61365.00,43.40,58433.00,37370.00,9010.00,14.68,"CA",38631158,121330568,"Zip-Distributive","95608",,"Urban","05440"
1452,"95610",45429.00,36.70,54385.00,27428.00,6215.00,13.68,"CA",38694230,121275217,"Zip-Distributive","95610",,"Urban","05440"
1453,"95612",1062.00,37.80,84000.00,37826.00,45.00,4.23,"CA",38397923,121561047,"Zip-Distributive","95612",,"Rural","05670"
1454,"95614",4360.00,47.50,102035.00,40370.00,181.00,4.15,"CA",38907956,120972773,"Zip-Distributive","95614",,"Rural","05080"
1455,"95615",1015.00,51.10,57880.00,24116.00,211.00,20.78,"CA",38305287,121572027,"Zip-Distributive","95615",,"Rural","05440"
1456,"95616",50068.00,23.00,50000.00,30344.00,15198.00,30.35,"CA",38554053,121756374,"Zip-Distributive","95616",,"Suburban","05670"
1457,"95618",27721.00,29.90,85354.00,45016.00,6047.00,21.81,"CA",38552173,121715812,"Zip-Distributive","95618",,"Rural","05670"
1458,"95619",4966.00,46.50,60496.00,29433.00,513.00,10.33,"CA",38693980,120816966,"Zip-Distributive","95619",,"Rural","05080"
1459,"95620",21588.00,34.70,74053.00,28277.00,2836.00,13.13,"CA",38445564,121824434,"Zip-Distributive","95620",,"Rural","05580"
1460,"95621",41893.00,38.30,54543.00,27349.00,5315.00,12.68,"CA",38691760,121311471,"Zip-Distributive","95621",,"Urban","05440"
1461,"95623",3734.00,50.10,62026.00,34814.00,330.00,8.83,"CA",38649291,120851347,"Zip-Distributive","95623",,"Rural","05080"
1462,"95624",65447.00,36.80,89075.00,33610.00,6281.00,9.59,"CA",38424025,121363492,"Zip-Distributive","95624",,"Suburban","05440"
1463,"95625",88.00,63.30,57786.00,46468.00,9.00,10.22,"CA",38348467,121908693,"Zip-Point","95625",,"Suburban","05580"
1464,"95626",6030.00,40.80,58108.00,26174.00,629.00,10.43,"CA",38718568,121466660,"Zip-Distributive","95626",,"Rural","05440"
1465,"95627",3892.00,32.80,61411.00,22912.00,385.00,9.89,"CA",38694997,122020320,"Zip-Distributive","95627",,"Rural","05670"
1466,"95628",40882.00,45.50,76063.00,42340.00,4131.00,10.10,"CA",38654944,121261365,"Zip-Distributive","95628",,"Urban","05440"
1467,"95629",898.00,51.10,72399.00,30596.00,142.00,15.81,"CA",38501484,120700219,"Zip-Distributive","95629",,"Rural","05020"
1468,"95630",75864.00,40.90,106843.00,43840.00,3485.00,4.59,"CA",38673781,121158615,"Zip-Distributive","95630",,"Suburban","05440"
1469,"95631",6638.00,50.00,76742.00,35289.00,626.00,9.43,"CA",38991877,120865962,"Zip-Distributive","95631",,"Rural","05410"
1470,"95632",31523.00,35.10,68795.00,27293.00,4959.00,15.73,"CA",38271521,121300375,"Zip-Distributive","95632",,"Rural","05440"
1471,"95633",3760.00,50.60,73393.00,30814.00,689.00,18.32,"CA",38855359,120855882,"Zip-Distributive","95633",,"Rural","05080"
1472,"95634",3027.00,46.10,50673.00,26147.00,249.00,8.22,"CA",38909988,120826097,"Zip-Distributive","95634",,"Rural","05080"
1473,"95635",870.00,57.10,39554.00,28434.00,116.00,13.33,"CA",38904597,120917561,"Zip-Distributive","95635",,"Rural","05080"
1474,"95636",954.00,51.30,47889.00,21727.00,124.00,12.99,"CA",38632324,120543460,"Zip-Distributive","95636",,"Rural","05080"
1475,"95637",315.00,33.10,-666666666.00,13376.00,114.00,36.19,"CA",38828258,122192120,"Zip-Distributive","95637",,"Rural","05670"
1476,"95638",2204.00,47.40,89306.00,37969.00,90.00,4.08,"CA",38299503,121221804,"Zip-Distributive","95638",,"Rural","05440"
1477,"95639",309.00,49.50,71500.00,21408.00,0.00,0.00,"CA",38368488,121519374,"Zip-Point","95639",,"Rural","05440"
1478,"95640",10609.00,43.80,67647.00,19748.00,822.00,7.74,"CA",38348653,120942313,"Zip-Distributive","95640",,"Rural","05020"
1479,"95641",1657.00,50.60,41979.00,26549.00,302.00,18.22,"CA",38138589,121598003,"Zip-Distributive","95641",,"Rural","05440"
1480,"95642",6615.00,51.80,53357.00,32879.00,548.00,8.28,"CA",38352842,120771051,"Zip-Distributive","95642",,"Rural","05020"
1481,"95645",1810.00,38.90,41607.00,19357.00,361.00,19.94,"CA",38879156,121789849,"Zip-Distributive","95645",,"Rural","05610"
